,Symbol,Contract_Type,Product_Name,Asset_Class_Id
350,26,Future,Crude Oil Last Day Financial Futures,2
351,DCL,Future,Daily WTI Financial Futures,2
352,DBB,Future,Dated Brent (Platts) BALMO Futures,2
353,A7G,Future,Dated Brent (Platts) Daily Futures,2
354,AUB,Future,Dated Brent (Platts) Financial Futures,2
355,AFE,Future,Dated Brent (Platts) to Frontline Brent BALMO Futures,2
356,AFY,Future,Dated Brent (Platts) to Frontline Brent Futures,2
357,ABI,Future,Dubai Crude Oil (Platts) BALMO Futures,2
358,DCB,Future,Dubai Crude Oil (Platts) Futures,2
359,QM,Future,E-mini Crude Oil Futures,2
360,QM-QM,Future,E-mini Crude Oil Futures,2
361,JCC,Future,Japan Crude Cocktail (Detailed) Futures,2
362,JCC-JCC,Future,Japan Crude Cocktail (Detailed) Futures,2
363,JCC-CY,Future,Japan Crude Cocktail (Detailed) Futures,2
364,JCC:SA,Future,Japan Crude Cocktail (Detailed) Futures,2
365,JCC:SB,Future,Japan Crude Cocktail (Detailed) Futures,2
366,CC:XS,Future,Japan Crude Cocktail (Detailed) Futures,2
367,JCY,Future,Japan Crude Cocktail (Detailed) Yen Denominated Futures,2
368,CL,Future,Light Sweet Crude Oil Futures,2
369,CL-CL,Future,Light Sweet Crude Oil Futures,2
370,CL:BF,Future,Light Sweet Crude Oil Futures,2
371,CL:SA,Future,Light Sweet Crude Oil Futures,2
374,CL-BZ,Future,Light Sweet Crude Oil Futures,2
375,CL-MCL (1:10),Future,Light Sweet Crude Oil Futures,2
376,CL-OQD,Future,Light Sweet Crude Oil Futures,2
377,CL-WS,Future,Light Sweet Crude Oil Futures,2
378,"CL:C1 HO my-CL my, C",Future,Light Sweet Crude Oil Futures,2
379,WS:XS CL (CL-BZ),Future,Light Sweet Crude Oil Futures,2
380,MCL,Future,Micro WTI Crude Oil Futures,2
381,MCL-MCL,Future,Micro WTI Crude Oil Futures,2
382,CLT,Future,Light Sweet Crude Oil Futures TAS,2
383,CLT-CLT,Future,Light Sweet Crude Oil Futures TAS,2
384,CLL,Future,Light Sweet Crude Oil Futures Trading At Marker (TAM) - London,2
385,CLL-CLL,Future,Light Sweet Crude Oil Futures Trading At Marker (TAM) - London,2
386,CLS,Future,Light Sweet Crude Oil Futures Trading At Marker (TAM) - Singapore,2
387,CLS-CLS,Future,Light Sweet Crude Oil Futures Trading At Marker (TAM) - Singapore,2
388,WNT,Future,WCS Cushing (Argus) vs. WTI Trade Month Futures,2
389,WNC,Future,WCS Cushing (Argus) vs. WTI Calendar Month Futures,2
390,DCW,Future,WTI vs. Dubai Crude Oil (Platts)Futures,2
391,TCS,Future,WTI Trade Month Futures,2
392,QCS,Future,WTI Quarterly Financial Futures,2
393,HCS,Future,WTI Semi-Annual Financial Futures,2
394,ACS,Future,WTI Annual Financial Futures,2
395,CLD,Future,WTI vs. Dated Brent (Platts) Calendar Month Futures,2
396,AXA,Future,LLS (Argus) Financial Futures,2
397,LLR,Future,LLS (Argus) vs. Brent Crude Oil Financial Futures,2
398,AWJ,Future,LLS (Argus) vs. WTI Financial Futures,2
399,AWJ-AWJ,Future,LLS (Argus) vs. WTI Financial Futures,2
400,AWJ:SA,Future,LLS (Argus) vs. WTI Financial Futures,2
401,AWJ:SB,Future,LLS (Argus) vs. WTI Financial Futures,2
402,AWJ-BK,Future,LLS (Argus) vs. WTI Financial Futures,2
403,AWJ:IS,Future,LLS (Argus) vs. WTI Financial Futures,2
404,MX,Future,Mars (Argus) Financial Futures,2
405,MO,Future,Mars (Argus) Trade Month Futures,2
406,AYX,Future,Mars (Argus) vs. WTI Financial Futures,2
407,AYX-AYX,Future,Mars (Argus) vs. WTI Financial Futures,2
408,AYX:SA,Future,Mars (Argus) vs. WTI Financial Futures,2
409,AYX:SB,Future,Mars (Argus) vs. WTI Financial Futures,2
410,AYX-CY,Future,Mars (Argus) vs. WTI Financial Futures vs Brent Financial Futures,2
411,AYV,Future,Mars (Argus) vs. WTI Trade Month Futures,2
412,AYV-AYV,Future,Mars (Argus) vs. WTI Trade Month Futures,2
413,AYV:SA,Future,Mars (Argus) vs. WTI Trade Month Futures,2
414,AYV:SB,Future,Mars (Argus) vs. WTI Trade Month Futures,2
415,AYV:IS,Future,Mars (Argus) vs. WTI Trade Month Futures,2
416,MBC,Future,Mini Brent Financial Futures,2
417,MDB,Future,Mini Dated Brent (Platts) Financial Futures,2
418,DBT,Future,Mini Dubai Crude Oil (Platts) BALMO Futures,2
419,DBL,Future,Mini Dubai Crude Oil (Platts) Futures,2
420,A42,Future,WTI BALMO Futures,2
421,A42-CL,Future,WTI BALMO Futures,2
422,CSX,Future,WTI Financial Futures,2
423,CSX-CSX,Future,WTI Financial Futures,2
424,CSX:SA,Future,WTI Financial Futures,2
425,CSX:SB,Future,WTI Financial Futures,2
426,CSX-CL,Future,WTI Financial Futures,2
427,CSX:C1 RB-CSX,Future,WTI Financial Futures,2
428,BK,Future,WTI‐Brent Financial Futures,2
429,BK-BK,Future,WTI‐Brent Financial Futures,2
430,BK:SA,Future,WTI‐Brent Financial Futures,2
431,BK:SB,Future,WTI‐Brent Financial Futures,2
432,ABY,Future,WTI-Brent Bullet Futures,2
433,ABY-ABY,Future,WTI-Brent Bullet Futures,2
434,ABY:SA,Future,WTI-Brent Bullet Futures,2
435,ABY:SB,Future,WTI-Brent Bullet Futures,2
436,HLT,Future,HLS (Argus) vs. WTI Trade Month Futures,2
437,HTT,Future,WTI Houston (Argus) vs. WTI Trade Month Futures,2
438,HTT-HTT,Future,WTI Houston (Argus) vs. WTI Trade Month Futures,2
439,HTT:SA,Future,WTI Houston (Argus) vs. WTI Trade Month Futures,2
440,HTT:SB,Future,WTI Houston (Argus) vs. WTI Trade Month Futures,2
441,UHC,Future,UHC Clearbrook (EMDA) Monthly Futures,2
442,UHT,Future,UHC Clearbrook (EMDA) vs. WTI Trade Month Futures,2
443,BDT,Future,Bakken DAPL (EMDA) vs. WTI Trade Month Futures,2
444,BPT,Future,Bakken Patoka (EMDA) vs. WTI Trade Month Futures,2
445,GWT,Future,Guernsey Light Sweet (EMDA) vs. WTI Trade Month Futures,2
446,HTA,Future,WTI Houston (Argus) Trade Month Futures,2
447,HIL,Future,WTI Houston (Argus) vs. WTI Financial Futures,2
448,HIL-HIL,Future,WTI Houston (Argus) vs. WTI Financial Futures,2
449,HIL:SA,Future,WTI Houston (Argus) vs. WTI Financial Futures,2
450,HIL:SB,Future,WTI Houston (Argus) vs. WTI Financial Futures,2
451,HIA,Future,WTI Houston (Argus) Financial Futures,2
452,HTB,Future,WTI Houston (Argus) vs. WTI Trade Month BALMO Futures,2
453,HIB,Future,WTI Houston (Argus) vs. WTI BALMO Futures,2
454,AFF,Future,WTI Midland (Argus) vs. WTI Financial Futures,2
455,AFF-AFF,Future,WTI Midland (Argus) vs. WTI Financial Futures,2
456,AFF:SA,Future,WTI Midland (Argus) vs. WTI Financial Futures,2
457,AFF:SB,Future,WTI Midland (Argus) vs. WTI Financial Futures,2
458,WHD,Future,WTI Houston (Argus) vs. Dubai (Platts) Trade Month Futures,2
459,WDB,Future,WTI Houston (Argus) vs. Dubai (Platts) Calendar Month Futures,2
460,WHB,Future,WTI Houston (Argus) vs. Brent Trade Month Futures,2
461,WBR,Future,WTI Houston (Argus) vs. Brent Calendar Month Futures,2
462,WMB,Future,WTI Midland (Argus) vs. Brent Trade Month Futures,2
463,WMR,Future,WTI Midland (Argus) vs. Brent Calendar Month Futures,2
464,WMD,Future,WTI Midland (Argus) vs. Dubai (Platts) Trade Month Futures,2
465,WTD,Future,WTI Midland (Argus) vs. Dubai (Platts) Calendar Month Futures,2
466,MBM,Future,Mars (Argus) vs. Dubai (Platts) Calendar Month Futures,2
467,MAB,Future,Mars (Argus) vs. Brent Trade Month Futures,2
468,WTT,Future,WTI Midland (Argus) vs. WTI Trade Month Futures,2
469,WTT-WTT,Future,WTI Midland (Argus) vs. WTI Trade Month Futures,2
470,WTT:SA,Future,WTI Midland (Argus) vs. WTI Trade Month Futures,2
471,WTT:SB,Future,WTI Midland (Argus) vs. WTI Trade Month Futures,2
474,WTI,Future,WTI Midland (Argus) Trade Month Futures,2
475,AY,Future,WTS (Argus) Trade Month Futures,2
476,AFH,Future,WTS (Argus) vs. WTI Trade Month Futures,2
477,AFH-AFH,Future,WTS (Argus) vs. WTI Trade Month Futures,2
478,AFH:SA,Future,WTS (Argus) vs. WTI Trade Month Futures,2
